node, agu8, alu8, fpu8, sfu8, rreg8, wreg8
n28l, 0.30, 0.60, 1.60, 3.00, 0.096, 0.112
n28t, 0.36, 0.72, 1.95, 3.70, 0.104, 0.120
n28h, 0.42, 0.85, 2.30, 4.45, 0.112, 0.128
n22l, 0.30, 0.60, 1.60, 3.00, 0.096, 0.112
n22t, 0.36, 0.72, 1.95, 3.70, 0.104, 0.120
n22h, 0.42, 0.85, 2.30, 4.45, 0.112, 0.128
n16l, 0.20, 0.40, 1.07, 2.20, 0.068, 0.080
n16t, 0.24, 0.48, 1.32, 2.70, 0.074, 0.086
n16h, 0.28, 0.57, 1.53, 3.05, 0.080, 0.092
n14l, 0.20, 0.40, 1.07, 2.20, 0.068, 0.080
n14t, 0.24, 0.48, 1.32, 2.70, 0.074, 0.086
n14h, 0.28, 0.57, 1.53, 3.05, 0.080, 0.092
n12l, 0.20, 0.40, 1.07, 2.20, 0.068, 0.080
n12t, 0.24, 0.48, 1.32, 2.70, 0.074, 0.086
n12h, 0.28, 0.57, 1.53, 3.05, 0.080, 0.092
n07l, 0.14, 0.27, 0.71, 1.50, 0.036, 0.0416
n07t, 0.16, 0.32, 0.87, 1.90, 0.040, 0.0456
n07h, 0.19, 0.38, 1.02, 2.05, 0.044, 0.0496
n06l, 0.14, 0.27, 0.71, 1.50, 0.036, 0.0416
n06t, 0.16, 0.32, 0.87, 1.90, 0.040, 0.0456
n06h, 0.19, 0.38, 1.02, 2.05, 0.044, 0.0496
n05l, 0.14, 0.27, 0.71, 1.50, 0.036, 0.0416
n05t, 0.16, 0.32, 0.87, 1.90, 0.040, 0.0456
n05h, 0.19, 0.38, 1.02, 2.05, 0.044, 0.0496
n03l, 0.09, 0.17, 0.46, 0.95, 0.0252, 0.0292
n03t, 0.11, 0.21, 0.56, 1.18, 0.0280, 0.0320
n03h, 0.13, 0.25, 0.66, 1.40, 0.0308, 0.0348
n02l, 0.06, 0.12, 0.32, 0.65, 0.01768, 0.0204
n02t, 0.07, 0.14, 0.39, 0.80, 0.01964, 0.0224
n02h, 0.08, 0.17, 0.46, 0.92, 0.02160, 0.0244
